Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol
AUD/USD,0.74458,0.00100,0.2040,-0.5071,0.0001,0.000091,0.0068,100.135,1.0,0.000, 
EUR/CHF,1.09350,0.00100,0.0544,-0.4854,0.0001,0.000092,0.0100,100.092,1.0,0.000, 
EUR/USD,1.10099,0.00100,-0.0996,-0.1095,0.0001,0.000091,0.0100,100.091,1.0,0.000, 
GBP/USD,1.42320,0.00100,0.0066,-0.2478,0.0001,0.000091,0.0129,100.070,1.0,0.000, 
GER30,9799.90,4.0000,-0.1717,-0.2575,1.0000,1.000000,195.9180,50.020,1.0,0.000,DE30/EUR
NAS100,4321.30,0.60000,-0.0032,-0.1688,1.0000,0.909099,78.5589,50.007,1.0,0.000,NAS100/USD
SPX500,1996.40,0.50000,0.0571,-0.1366,1.0000,0.909099,36.2894,50.013,1.0,0.000,SPX500/USD
UK100,6181.80,2.5000,0.6564,-1.0066,1.0000,1.293444,159.8515,50.020,1.0,0.000,UK100/GBP
US30,16992.00,2.0000,0.5793,-1.2559,1.0000,0.909099,308.9119,50.006,1.0,0.000,US30/USD
USD/CAD,1.33222,0.00090,-0.1495,-0.0621,0.0001,0.000068,0.0091,100.068,1.0,0.000, 
USD/CHF,0.99356,0.00100,0.0627,-0.4754,0.0001,0.000092,0.0091,100.101,1.0,0.000, 
USD/JPY,113.8230,0.10000,-0.0005,-0.0998,0.0100,0.000080,0.0091,100.088,1.0,0.000, 
XAG/USD,15.5361,0.04009,-0.0002,-0.0004,0.0001,0.000091,0.2818,50.129,1.0,0.000, 
XAU/USD,1259.51,0.92100,-0.0204,-0.0298,0.0100,0.009091,11.4418,100.073,1.0,0.000, 
