
Assets........................
Test: Z8 portfolio 2011..2016
Error 062: Can't open Z8.par (rt:2)
[715: Tue 13.07.10 00:00]  00715
[716: Wed 14.07.10 00:00]  00716
[717: Thu 15.07.10 00:00]  00717
[718: Fri 16.07.10 00:00]  00718
[719: Mon 19.07.10 00:00]  00719
[720: Tue 20.07.10 00:00]  00720
[721: Wed 21.07.10 00:00]  00721
[722: Thu 22.07.10 00:00]  00722
[723: Fri 23.07.10 00:00]  00723
[724: Mon 26.07.10 00:00]  00724
[725: Tue 27.07.10 00:00]  00725
[726: Wed 28.07.10 00:00]  00726
[727: Thu 29.07.10 00:00]  00727
[728: Fri 30.07.10 00:00]  00728
[729: Mon 02.08.10 00:00]  00729
[730: Tue 03.08.10 00:00]  00730
[731: Wed 04.08.10 00:00]  00731
[732: Thu 05.08.10 00:00]  00732
[733: Fri 06.08.10 00:00]  00733
[734: Mon 09.08.10 00:00]  00734
[735: Tue 10.08.10 00:00]  00735
[736: Wed 11.08.10 00:00]  00736
[737: Thu 12.08.10 00:00]  00737
[738: Fri 13.08.10 00:00]  00738
[739: Mon 16.08.10 00:00]  00739
[740: Tue 17.08.10 00:00]  00740
[741: Wed 18.08.10 00:00]  00741
[742: Thu 19.08.10 00:00]  00742
[743: Fri 20.08.10 00:00]  00743
[744: Mon 23.08.10 00:00]  00744
[745: Tue 24.08.10 00:00]  00745
[746: Wed 25.08.10 00:00]  00746
[747: Thu 26.08.10 00:00]  00747
[748: Fri 27.08.10 00:00]  00748
[749: Mon 30.08.10 00:00]  00749
[750: Tue 31.08.10 00:00]  00750
[751: Wed 01.09.10 00:00]  00751
[752: Thu 02.09.10 00:00]  00752
[753: Fri 03.09.10 00:00]  00753
[754: Tue 07.09.10 00:00]  00754
[755: Wed 08.09.10 00:00]  00755
[756: Thu 09.09.10 00:00]  00756
[757: Fri 10.09.10 00:00]  00757
[758: Mon 13.09.10 00:00]  00758
[759: Tue 14.09.10 00:00]  00759
[760: Wed 15.09.10 00:00]  00760
[761: Thu 16.09.10 00:00]  00761
[762: Fri 17.09.10 00:00]  00762
[763: Mon 20.09.10 00:00]  00763
[764: Tue 21.09.10 00:00]  00764
[765: Wed 22.09.10 00:00]  00765
[766: Thu 23.09.10 00:00]  00766
[767: Fri 24.09.10 00:00]  00767
[768: Mon 27.09.10 00:00]  00768
[769: Tue 28.09.10 00:00]  00769
[770: Wed 29.09.10 00:00]  00770
[771: Thu 30.09.10 00:00]  00771
[772: Fri 01.10.10 00:00]  00772
[773: Mon 04.10.10 00:00]  00773
[774: Tue 05.10.10 00:00]  00774
[775: Wed 06.10.10 00:00]  00775
[776: Thu 07.10.10 00:00]  00776
[777: Fri 08.10.10 00:00]  00777
[778: Mon 11.10.10 00:00]  00778
[779: Tue 12.10.10 00:00]  00779
[780: Wed 13.10.10 00:00]  00780
[781: Thu 14.10.10 00:00]  00781
[782: Fri 15.10.10 00:00]  00782
[783: Mon 18.10.10 00:00]  00783
[784: Tue 19.10.10 00:00]  00784
[785: Wed 20.10.10 00:00]  00785
[786: Thu 21.10.10 00:00]  00786
[787: Fri 22.10.10 00:00]  00787
[788: Mon 25.10.10 00:00]  00788
[789: Tue 26.10.10 00:00]  00789
[790: Wed 27.10.10 00:00]  00790
