
Assets.............
Walk-Forward Test: Z12 portfolio 2010..2016
Read Z12.fac
Read Z12_1.par
Read Z12_2.par
Read Z12_3.par
Read Z12_4.par
Read Z12_5.par
Read Z12_6.par
Read Z12_7.par
Read Z12_8.par
Read Z12_9.par
Read Z12_10.par
Read Z12_11.par
[4382: Mon 22.10.12 20:00]  1.30639
[4383: Tue 23.10.12 00:00]  1.30582
[4384: Tue 23.10.12 04:00]  1.30720
[4385: Tue 23.10.12 08:00]  1.30546
[4386: Tue 23.10.12 12:00]  1.30288
[4387: Tue 23.10.12 16:00]  1.30077
[4388: Tue 23.10.12 20:00]  1.29718
[4389: Wed 24.10.12 00:00]  1.29814
[4390: Wed 24.10.12 04:00]  1.29751
[4391: Wed 24.10.12 08:00]  1.29889
[4392: Wed 24.10.12 12:00]  1.29628
[4393: Wed 24.10.12 16:00]  1.29459
[4394: Wed 24.10.12 20:00]  1.29466
[4395: Thu 25.10.12 00:00]  1.29621
[4396: Thu 25.10.12 04:00]  1.29661
[4397: Thu 25.10.12 08:00]  1.29722
[4398: Thu 25.10.12 12:00]  1.30129
[4399: Thu 25.10.12 16:00]  1.29936
[4400: Thu 25.10.12 20:00]  1.29587
[4401: Fri 26.10.12 00:00]  1.29463
[4402: Fri 26.10.12 04:00]  1.29402
[4403: Fri 26.10.12 08:00]  1.29397
[4404: Fri 26.10.12 12:00]  1.29301
[4405: Fri 26.10.12 16:00]  1.28966
[4406: Sun 28.10.12 20:00]  1.29382
[4407: Mon 29.10.12 00:00]  1.29428
[4408: Mon 29.10.12 04:00]  1.29234
[4409: Mon 29.10.12 08:00]  1.29336
[4410: Mon 29.10.12 12:00]  1.29062
[4411: Mon 29.10.12 16:00]  1.28967
[4412: Mon 29.10.12 20:00]  1.29066
[4413: Tue 30.10.12 00:00]  1.29031
[4414: Tue 30.10.12 04:00]  1.29083
[4415: Tue 30.10.12 08:00]  1.29099
[4416: Tue 30.10.12 12:00]  1.29344
[4417: Tue 30.10.12 16:00]  1.29456
[4418: Tue 30.10.12 20:00]  1.29797
[4419: Wed 31.10.12 00:00]  1.29609
[4420: Wed 31.10.12 04:00]  1.29627
[4421: Wed 31.10.12 08:00]  1.29610
[4422: Wed 31.10.12 12:00]  1.29762
[4423: Wed 31.10.12 16:00]  1.30060
[4424: Wed 31.10.12 20:00]  1.29592
[4425: Thu 01.11.12 00:00]  1.29627
[4426: Thu 01.11.12 04:00]  1.29657
[4427: Thu 01.11.12 08:00]  1.29654
[4428: Thu 01.11.12 12:00]  1.29413
[4429: Thu 01.11.12 16:00]  1.29623
[4430: Thu 01.11.12 20:00]  1.29381
[4431: Fri 02.11.12 00:00]  1.29418
[4432: Fri 02.11.12 04:00]  1.29480
[4433: Fri 02.11.12 08:00]  1.29321
[4434: Fri 02.11.12 12:00]  1.29051
[4435: Fri 02.11.12 16:00]  1.28853
[4436: Sun 04.11.12 20:00]  1.28472
[4437: Mon 05.11.12 00:00]  1.28398
[4438: Mon 05.11.12 04:00]  1.28243
[4439: Mon 05.11.12 08:00]  1.28238
[4440: Mon 05.11.12 12:00]  1.27932
[4441: Mon 05.11.12 16:00]  1.27910
[4442: Mon 05.11.12 20:00]  1.27838
[4443: Tue 06.11.12 00:00]  1.27908
[4444: Tue 06.11.12 04:00]  1.28010
[4445: Tue 06.11.12 08:00]  1.27969
[4446: Tue 06.11.12 12:00]  1.27853
[4447: Tue 06.11.12 16:00]  1.28050
[4448: Tue 06.11.12 20:00]  1.28036
[4449: Wed 07.11.12 00:00]  1.28175
[4450: Wed 07.11.12 04:00]  1.28071
[4451: Wed 07.11.12 08:00]  1.28338
[4452: Wed 07.11.12 12:00]  1.28691
[4453: Wed 07.11.12 16:00]  1.28164
[4454: Wed 07.11.12 20:00]  1.27560
[4455: Thu 08.11.12 00:00]  1.27679
[4456: Thu 08.11.12 04:00]  1.27575
[4457: Thu 08.11.12 08:00]  1.27523
[4458: Thu 08.11.12 12:00]  1.27689
[4459: Thu 08.11.12 16:00]  1.27450
[4460: Thu 08.11.12 20:00]  1.27278
[4461: Fri 09.11.12 00:00]  1.27495
[4462: Fri 09.11.12 04:00]  1.27428
[4463: Fri 09.11.12 08:00]  1.27760
[4464: Fri 09.11.12 12:00]  1.27554
[4465: Fri 09.11.12 16:00]  1.27171
[4466: Sun 11.11.12 20:00]  1.27107
[4467: Mon 12.11.12 00:00]  1.27169
[4468: Mon 12.11.12 04:00]  1.27218
[4469: Mon 12.11.12 08:00]  1.27283
[4470: Mon 12.11.12 12:00]  1.27092
[4471: Mon 12.11.12 16:00]  1.27117
[4472: Mon 12.11.12 20:00]  1.27127
[4473: Tue 13.11.12 00:00]  1.27145
[4474: Tue 13.11.12 04:00]  1.27072
[4475: Tue 13.11.12 08:00]  1.26871
[4476: Tue 13.11.12 12:00]  1.26890
[4477: Tue 13.11.12 16:00]  1.27165
[4478: Tue 13.11.12 20:00]  1.27118
[4479: Wed 14.11.12 00:00]  1.27066
[4480: Wed 14.11.12 04:00]  1.27110
[4481: Wed 14.11.12 08:00]  1.27208
[4482: Wed 14.11.12 12:00]  1.27339
[4483: Wed 14.11.12 16:00]  1.27423
[4484: Wed 14.11.12 20:00]  1.27306
[4485: Thu 15.11.12 00:00]  1.27471
[4486: Thu 15.11.12 04:00]  1.27311
[4487: Thu 15.11.12 08:00]  1.27436
[4488: Thu 15.11.12 12:00]  1.27397
[4489: Thu 15.11.12 16:00]  1.27652
[4490: Thu 15.11.12 20:00]  1.27933
[4491: Fri 16.11.12 00:00]  1.27753
[4492: Fri 16.11.12 04:00]  1.27826
[4493: Fri 16.11.12 08:00]  1.27744
[4494: Fri 16.11.12 12:00]  1.27583
[4495: Fri 16.11.12 16:00]  1.27375
[4496: Sun 18.11.12 20:00]  1.27064
[4497: Mon 19.11.12 00:00]  1.27444
[4498: Mon 19.11.12 04:00]  1.27599
[4499: Mon 19.11.12 08:00]  1.27665
[4500: Mon 19.11.12 12:00]  1.27639
[4501: Mon 19.11.12 16:00]  1.27734
[4502: Mon 19.11.12 20:00]  1.28166
[4503: Tue 20.11.12 00:00]  1.28087
[4504: Tue 20.11.12 04:00]  1.27681
[4505: Tue 20.11.12 08:00]  1.28048
[4506: Tue 20.11.12 12:00]  1.27890
[4507: Tue 20.11.12 16:00]  1.28131
[4508: Tue 20.11.12 20:00]  1.28042
[4509: Wed 21.11.12 00:00]  1.28081
[4510: Wed 21.11.12 04:00]  1.28137
[4511: Wed 21.11.12 08:00]  1.27670
[4512: Wed 21.11.12 12:00]  1.27646
[4513: Wed 21.11.12 16:00]  1.28087
[4514: Wed 21.11.12 20:00]  1.28198
[4515: Thu 22.11.12 00:00]  1.28254
[4516: Thu 22.11.12 04:00]  1.28653
[4517: Thu 22.11.12 08:00]  1.28463
[4518: Thu 22.11.12 12:00]  1.28486
[4519: Thu 22.11.12 16:00]  1.28777
[4520: Thu 22.11.12 20:00]  1.28880
[4521: Fri 23.11.12 00:00]  1.28840
[4522: Fri 23.11.12 04:00]  1.28756
[4523: Fri 23.11.12 08:00]  1.28878
[4524: Fri 23.11.12 12:00]  1.29073
[4525: Fri 23.11.12 16:00]  1.29010
[4526: Sun 25.11.12 20:00]  1.29599
[4527: Mon 26.11.12 00:00]  1.29795
[4528: Mon 26.11.12 04:00]  1.29741
[4529: Mon 26.11.12 08:00]  1.29625
[4530: Mon 26.11.12 12:00]  1.29733
[4531: Mon 26.11.12 16:00]  1.29675
[4532: Mon 26.11.12 20:00]  1.29658
[4533: Tue 27.11.12 00:00]  1.29641
[4534: Tue 27.11.12 04:00]  1.29897
[4535: Tue 27.11.12 08:00]  1.29832
[4536: Tue 27.11.12 12:00]  1.29935
[4537: Tue 27.11.12 16:00]  1.29526
[4538: Tue 27.11.12 20:00]  1.29326
[4539: Wed 28.11.12 00:00]  1.29343
[4540: Wed 28.11.12 04:00]  1.29388
[4541: Wed 28.11.12 08:00]  1.29347
[4542: Wed 28.11.12 12:00]  1.29238
[4543: Wed 28.11.12 16:00]  1.28930
[4544: Wed 28.11.12 20:00]  1.29108
[4545: Thu 29.11.12 00:00]  1.29320
[4546: Thu 29.11.12 04:00]  1.29519
[4547: Thu 29.11.12 08:00]  1.29529
[4548: Thu 29.11.12 12:00]  1.29653
[4549: Thu 29.11.12 16:00]  1.29873
[4550: Thu 29.11.12 20:00]  1.29801
[4551: Fri 30.11.12 00:00]  1.29740
[4552: Fri 30.11.12 04:00]  1.29731
[4553: Fri 30.11.12 08:00]  1.29983
[4554: Fri 30.11.12 12:00]  1.30216
[4555: Fri 30.11.12 16:00]  1.30076
[4556: Sun 02.12.12 20:00]  1.30066
[4557: Mon 03.12.12 00:00]  1.29881
[4558: Mon 03.12.12 04:00]  1.29970
[4559: Mon 03.12.12 08:00]  1.30409
[4560: Mon 03.12.12 12:00]  1.30335
[4561: Mon 03.12.12 16:00]  1.30292
[4562: Mon 03.12.12 20:00]  1.30734
[4563: Tue 04.12.12 00:00]  1.30596
[4564: Tue 04.12.12 04:00]  1.30648
[4565: Tue 04.12.12 08:00]  1.30612
[4566: Tue 04.12.12 12:00]  1.30724
[4567: Tue 04.12.12 16:00]  1.30826
[4568: Tue 04.12.12 20:00]  1.30870
[4569: Wed 05.12.12 00:00]  1.30998
[4570: Wed 05.12.12 04:00]  1.31005
[4571: Wed 05.12.12 08:00]  1.31093
[4572: Wed 05.12.12 12:00]  1.31183
[4573: Wed 05.12.12 16:00]  1.30798
[4574: Wed 05.12.12 20:00]  1.30695
[4575: Thu 06.12.12 00:00]  1.30802
[4576: Thu 06.12.12 04:00]  1.30736
[4577: Thu 06.12.12 08:00]  1.30538
[4578: Thu 06.12.12 12:00]  1.30501
[4579: Thu 06.12.12 16:00]  1.30653
[4580: Thu 06.12.12 20:00]  1.29858
[4581: Fri 07.12.12 00:00]  1.29645
[4582: Fri 07.12.12 04:00]  1.29627
[4583: Fri 07.12.12 08:00]  1.29690
[4584: Fri 07.12.12 12:00]  1.29380
[4585: Fri 07.12.12 16:00]  1.29304
[4586: Sun 09.12.12 20:00]  1.29286
[4587: Mon 10.12.12 00:00]  1.29292
[4588: Mon 10.12.12 04:00]  1.29077
[4589: Mon 10.12.12 08:00]  1.28990
[4590: Mon 10.12.12 12:00]  1.28965
[4591: Mon 10.12.12 16:00]  1.29108
[4592: Mon 10.12.12 20:00]  1.29271
[4593: Tue 11.12.12 00:00]  1.29395
[4594: Tue 11.12.12 04:00]  1.29384
[4595: Tue 11.12.12 08:00]  1.29351
[4596: Tue 11.12.12 12:00]  1.29430
[4597: Tue 11.12.12 16:00]  1.29937
[4598: Tue 11.12.12 20:00]  1.29989
[4599: Wed 12.12.12 00:00]  1.30048
[4600: Wed 12.12.12 04:00]  1.30129
[4601: Wed 12.12.12 08:00]  1.30035
[4602: Wed 12.12.12 12:00]  1.30046
[4603: Wed 12.12.12 16:00]  1.30276
[4604: Wed 12.12.12 20:00]  1.30416
[4605: Thu 13.12.12 00:00]  1.30823
[4606: Thu 13.12.12 04:00]  1.30667
[4607: Thu 13.12.12 08:00]  1.30803
[4608: Thu 13.12.12 12:00]  1.30881
[4609: Thu 13.12.12 16:00]  1.30635
[4610: Thu 13.12.12 20:00]  1.30890
[4611: Fri 14.12.12 00:00]  1.30761
[4612: Fri 14.12.12 04:00]  1.30782
[4613: Fri 14.12.12 08:00]  1.30893
[4614: Fri 14.12.12 12:00]  1.31122
[4615: Fri 14.12.12 16:00]  1.30900
[4616: Sun 16.12.12 20:00]  1.31096
[4617: Mon 17.12.12 00:00]  1.31635
[4618: Mon 17.12.12 04:00]  1.31671
[4619: Mon 17.12.12 08:00]  1.31566
[4620: Mon 17.12.12 12:00]  1.31579
[4621: Mon 17.12.12 16:00]  1.31528
[4622: Mon 17.12.12 20:00]  1.31626
[4623: Tue 18.12.12 00:00]  1.31611
[4624: Tue 18.12.12 04:00]  1.31624
[4625: Tue 18.12.12 08:00]  1.31736
[4626: Tue 18.12.12 12:00]  1.31672
[4627: Tue 18.12.12 16:00]  1.31797
[4628: Tue 18.12.12 20:00]  1.32140
[4629: Wed 19.12.12 00:00]  1.32208
[4630: Wed 19.12.12 04:00]  1.32299
[4631: Wed 19.12.12 08:00]  1.32487
[4632: Wed 19.12.12 12:00]  1.32418
[4633: Wed 19.12.12 16:00]  1.32742
[4634: Wed 19.12.12 20:00]  1.32597
[4635: Thu 20.12.12 00:00]  1.32471
[4636: Thu 20.12.12 04:00]  1.32142
[4637: Thu 20.12.12 08:00]  1.32269
[4638: Thu 20.12.12 12:00]  1.32147
[4639: Thu 20.12.12 16:00]  1.32589
[4640: Thu 20.12.12 20:00]  1.32388
[4641: Fri 21.12.12 00:00]  1.32415
[4642: Fri 21.12.12 04:00]  1.32384
[4643: Fri 21.12.12 08:00]  1.31997
[4644: Fri 21.12.12 12:00]  1.32002
[4645: Fri 21.12.12 16:00]  1.32022
[4646: Sun 23.12.12 20:00]  1.31759
[4647: Mon 24.12.12 00:00]  1.31859
[4648: Mon 24.12.12 04:00]  1.31816
[4649: Mon 24.12.12 08:00]  1.31841
[4650: Mon 24.12.12 12:00]  1.32004
[4651: Mon 24.12.12 16:00]  1.32216
[4652: Wed 26.12.12 04:00]  1.31950
[4653: Wed 26.12.12 08:00]  1.31781
[4654: Wed 26.12.12 12:00]  1.31979
[4655: Wed 26.12.12 16:00]  1.32145
[4656: Wed 26.12.12 20:00]  1.32236
[4657: Thu 27.12.12 00:00]  1.32209
[4658: Thu 27.12.12 04:00]  1.32291
[4659: Thu 27.12.12 08:00]  1.32356
[4660: Thu 27.12.12 12:00]  1.32509
[4661: Thu 27.12.12 16:00]  1.32616
[4662: Thu 27.12.12 20:00]  1.32217
[4663: Fri 28.12.12 00:00]  1.32391
[4664: Fri 28.12.12 04:00]  1.32496
[4665: Fri 28.12.12 08:00]  1.32445
[4666: Fri 28.12.12 12:00]  1.32521
[4667: Fri 28.12.12 16:00]  1.31818
[4668: Sun 30.12.12 20:00]  1.32225
[4669: Mon 31.12.12 00:00]  1.32205
[4670: Mon 31.12.12 04:00]  1.32281
[4671: Mon 31.12.12 08:00]  1.32150
[4672: Mon 31.12.12 12:00]  1.31923
[4673: Mon 31.12.12 16:00]  1.31855
[4674: Wed 02.01.13 04:00]  1.31825
[4675: Wed 02.01.13 08:00]  1.31864
[4676: Wed 02.01.13 12:00]  1.32748
[4677: Wed 02.01.13 16:00]  1.32506
[4678: Wed 02.01.13 20:00]  1.32408
[4679: Thu 03.01.13 00:00]  1.31767
[4680: Thu 03.01.13 04:00]  1.31849
[4681: Thu 03.01.13 08:00]  1.31400
[4682: Thu 03.01.13 12:00]  1.31359
[4683: Thu 03.01.13 16:00]  1.31142
[4684: Thu 03.01.13 20:00]  1.30963
[4685: Fri 04.01.13 00:00]  1.30625
[4686: Fri 04.01.13 04:00]  1.30257
[4687: Fri 04.01.13 08:00]  1.30317
[4688: Fri 04.01.13 12:00]  1.30091
[4689: Fri 04.01.13 16:00]  1.30043
[4690: Sun 06.01.13 20:00]  1.30458
[4691: Mon 07.01.13 00:00]  1.30708
[4692: Mon 07.01.13 04:00]  1.30691
[4693: Mon 07.01.13 08:00]  1.30557
[4694: Mon 07.01.13 12:00]  1.30348
[4695: Mon 07.01.13 16:00]  1.30345
[4696: Mon 07.01.13 20:00]  1.30994
[4697: Tue 08.01.13 00:00]  1.31136
[4698: Tue 08.01.13 04:00]  1.31250
[4699: Tue 08.01.13 08:00]  1.31248
[4700: Tue 08.01.13 12:00]  1.31156
[4701: Tue 08.01.13 16:00]  1.31245
[4702: Tue 08.01.13 20:00]  1.30670
[4703: Wed 09.01.13 00:00]  1.30834
[4704: Wed 09.01.13 04:00]  1.30841
[4705: Wed 09.01.13 08:00]  1.30751
[4706: Wed 09.01.13 12:00]  1.30777
[4707: Wed 09.01.13 16:00]  1.30517
[4708: Wed 09.01.13 20:00]  1.30438
[4709: Thu 10.01.13 00:00]  1.30557
[4710: Thu 10.01.13 04:00]  1.30547
[4711: Thu 10.01.13 08:00]  1.30516
[4712: Thu 10.01.13 12:00]  1.30684
[4713: Thu 10.01.13 16:00]  1.31042
[4714: Thu 10.01.13 20:00]  1.32155
[4715: Fri 11.01.13 00:00]  1.32538
[4716: Fri 11.01.13 04:00]  1.32739
[4717: Fri 11.01.13 08:00]  1.32573
[4718: Fri 11.01.13 12:00]  1.32734
[4719: Fri 11.01.13 16:00]  1.32535
[4720: Sun 13.01.13 20:00]  1.33463
[4721: Mon 14.01.13 00:00]  1.33448
[4722: Mon 14.01.13 04:00]  1.33596
[4723: Mon 14.01.13 08:00]  1.33989
[4724: Mon 14.01.13 12:00]  1.33797
