
Assets.............
Walk-Forward Test: Z1 portfolio 2010..2016
Read Z12.fac
Read Z12_1.par
Read Z12_2.par
Read Z12_3.par
Read Z12_4.par
Read Z12_5.par
Read Z12_6.par
Read Z12_7.par
Read Z12_8.par
Read Z12_9.par
Read Z12_10.par
[4534: Tue 27.11.12 04:00]  4: 04534
[4535: Tue 27.11.12 08:00]  4: 04535
[4536: Tue 27.11.12 12:00]  4: 04536
[4537: Tue 27.11.12 16:00]  4: 04537
[4538: Tue 27.11.12 20:00]  4: 04538
[4539: Wed 28.11.12 00:00]  4: 04539
[4540: Wed 28.11.12 04:00]  4: 04540
[4541: Wed 28.11.12 08:00]  4: 04541
[4542: Wed 28.11.12 12:00]  4: 04542
[4543: Wed 28.11.12 16:00]  4: 04543
[4544: Wed 28.11.12 20:00]  4: 04544
[4545: Thu 29.11.12 00:00]  4: 04545
[4546: Thu 29.11.12 04:00]  4: 04546
[4547: Thu 29.11.12 08:00]  4: 04547
[4548: Thu 29.11.12 12:00]  4: 04548
[4549: Thu 29.11.12 16:00]  4: 04549
[4550: Thu 29.11.12 20:00]  4: 04550
[4551: Fri 30.11.12 00:00]  4: 04551
[4552: Fri 30.11.12 04:00]  4: 04552
[4553: Fri 30.11.12 08:00]  4: 04553
[4554: Fri 30.11.12 12:00]  4: 04554
[4555: Fri 30.11.12 16:00]  4: 04555
[4556: Sun 02.12.12 20:00]  4: 04556
[4557: Mon 03.12.12 00:00]  4: 04557
[4558: Mon 03.12.12 04:00]  4: 04558
[4559: Mon 03.12.12 08:00]  4: 04559
[4560: Mon 03.12.12 12:00]  4: 04560
[4561: Mon 03.12.12 16:00]  4: 04561
[4562: Mon 03.12.12 20:00]  4: 04562
[4563: Tue 04.12.12 00:00]  4: 04563
[4564: Tue 04.12.12 04:00]  4: 04564
[4565: Tue 04.12.12 08:00]  4: 04565
[4566: Tue 04.12.12 12:00]  4: 04566
[4567: Tue 04.12.12 16:00]  4: 04567
[4568: Tue 04.12.12 20:00]  4: 04568
[4569: Wed 05.12.12 00:00]  4: 04569
[4570: Wed 05.12.12 04:00]  4: 04570
[4571: Wed 05.12.12 08:00]  4: 04571
[4572: Wed 05.12.12 12:00]  4: 04572
[4573: Wed 05.12.12 16:00]  4: 04573
[4574: Wed 05.12.12 20:00]  4: 04574
[4575: Thu 06.12.12 00:00]  4: 04575
[4576: Thu 06.12.12 04:00]  4: 04576
[4577: Thu 06.12.12 08:00]  4: 04577
[4578: Thu 06.12.12 12:00]  4: 04578
[4579: Thu 06.12.12 16:00]  4: 04579
[4580: Thu 06.12.12 20:00]  4: 04580
[4581: Fri 07.12.12 00:00]  4: 04581
[4582: Fri 07.12.12 04:00]  4: 04582
[4583: Fri 07.12.12 08:00]  4: 04583
[4584: Fri 07.12.12 12:00]  4: 04584
[4585: Fri 07.12.12 16:00]  4: 04585
[4586: Sun 09.12.12 20:00]  4: 04586
[4587: Mon 10.12.12 00:00]  4: 04587
[4588: Mon 10.12.12 04:00]  4: 04588
[4589: Mon 10.12.12 08:00]  4: 04589
[4590: Mon 10.12.12 12:00]  4: 04590
[4591: Mon 10.12.12 16:00]  4: 04591
[4592: Mon 10.12.12 20:00]  4: 04592
[4593: Tue 11.12.12 00:00]  4: 04593
[4594: Tue 11.12.12 04:00]  4: 04594
[4595: Tue 11.12.12 08:00]  4: 04595
[4596: Tue 11.12.12 12:00]  4: 04596
[4597: Tue 11.12.12 16:00]  4: 04597
[4598: Tue 11.12.12 20:00]  4: 04598
[4599: Wed 12.12.12 00:00]  4: 04599
[4600: Wed 12.12.12 04:00]  4: 04600
[4601: Wed 12.12.12 08:00]  4: 04601
[4602: Wed 12.12.12 12:00]  4: 04602
[4603: Wed 12.12.12 16:00]  4: 04603
[4604: Wed 12.12.12 20:00]  4: 04604
[4605: Thu 13.12.12 00:00]  4: 04605
[4606: Thu 13.12.12 04:00]  4: 04606
[4607: Thu 13.12.12 08:00]  4: 04607
[4608: Thu 13.12.12 12:00]  4: 04608
[4609: Thu 13.12.12 16:00]  4: 04609
[4610: Thu 13.12.12 20:00]  4: 04610
[4611: Fri 14.12.12 00:00]  4: 04611
[4612: Fri 14.12.12 04:00]  4: 04612
[4613: Fri 14.12.12 08:00]  4: 04613
[4614: Fri 14.12.12 12:00]  4: 04614
[4615: Fri 14.12.12 16:00]  4: 04615
[4616: Sun 16.12.12 20:00]  4: 04616
[4617: Mon 17.12.12 00:00]  4: 04617
[4618: Mon 17.12.12 04:00]  4: 04618
[4619: Mon 17.12.12 08:00]  4: 04619
[4620: Mon 17.12.12 12:00]  4: 04620
[4621: Mon 17.12.12 16:00]  4: 04621
[4622: Mon 17.12.12 20:00]  4: 04622
[4623: Tue 18.12.12 00:00]  4: 04623
[4624: Tue 18.12.12 04:00]  4: 04624
[4625: Tue 18.12.12 08:00]  4: 04625
[4626: Tue 18.12.12 12:00]  4: 04626
[4627: Tue 18.12.12 16:00]  4: 04627
[4628: Tue 18.12.12 20:00]  4: 04628
[4629: Wed 19.12.12 00:00]  4: 04629
[4630: Wed 19.12.12 04:00]  4: 04630
[4631: Wed 19.12.12 08:00]  4: 04631
[4632: Wed 19.12.12 12:00]  4: 04632
[4633: Wed 19.12.12 16:00]  4: 04633
[4634: Wed 19.12.12 20:00]  4: 04634
[4635: Thu 20.12.12 00:00]  4: 04635
[4636: Thu 20.12.12 04:00]  4: 04636
[4637: Thu 20.12.12 08:00]  4: 04637
[4638: Thu 20.12.12 12:00]  4: 04638
[4639: Thu 20.12.12 16:00]  4: 04639
[4640: Thu 20.12.12 20:00]  4: 04640
[4641: Fri 21.12.12 00:00]  4: 04641
[4642: Fri 21.12.12 04:00]  4: 04642
[4643: Fri 21.12.12 08:00]  4: 04643
[4644: Fri 21.12.12 12:00]  4: 04644
[4645: Fri 21.12.12 16:00]  4: 04645
[4646: Sun 23.12.12 20:00]  4: 04646
[4647: Mon 24.12.12 00:00]  4: 04647
[4648: Mon 24.12.12 04:00]  4: 04648
[4649: Mon 24.12.12 08:00]  4: 04649
[4650: Mon 24.12.12 12:00]  4: 04650
[4651: Mon 24.12.12 16:00]  4: 04651
[4652: Wed 26.12.12 04:00]  4: 04652
[4653: Wed 26.12.12 08:00]  4: 04653
[4654: Wed 26.12.12 12:00]  4: 04654
[4655: Wed 26.12.12 16:00]  4: 04655
[4656: Wed 26.12.12 20:00]  4: 04656
[4657: Thu 27.12.12 00:00]  4: 04657
[4658: Thu 27.12.12 04:00]  4: 04658
[4659: Thu 27.12.12 08:00]  4: 04659
[4660: Thu 27.12.12 12:00]  4: 04660
[4661: Thu 27.12.12 16:00]  4: 04661
[4662: Thu 27.12.12 20:00]  4: 04662
[4663: Fri 28.12.12 00:00]  4: 04663
[4664: Fri 28.12.12 04:00]  4: 04664
[4665: Fri 28.12.12 08:00]  4: 04665
[4666: Fri 28.12.12 12:00]  4: 04666
[4667: Fri 28.12.12 16:00]  4: 04667
[4668: Sun 30.12.12 20:00]  4: 04668
[4669: Mon 31.12.12 00:00]  4: 04669
[4670: Mon 31.12.12 04:00]  4: 04670
[4671: Mon 31.12.12 08:00]  4: 04671
[4672: Mon 31.12.12 12:00]  4: 04672
[4673: Mon 31.12.12 16:00]  4: 04673
[4674: Wed 02.01.13 04:00]  4: 04674
[4675: Wed 02.01.13 08:00]  4: 04675
[4676: Wed 02.01.13 12:00]  4: 04676
[4677: Wed 02.01.13 16:00]  4: 04677
[4678: Wed 02.01.13 20:00]  4: 04678
